# 0: all purpose
# 1: nouns
# 2: verbs
# 3: adjectives
# 4: adverbs
# 5: names
# 6: cities
# 7: coutries
# 8: nice words
### Groups:
####################
Aachen 0,1,6
Aachener 0,1
Aale 0,1
Aalen 0,1,6
Aarau 0,1
Aargau 0,1
Aarhus 0,1,6
Aaron 0,5
AASKNOCHEN 0,1
ABAKUS 0,1
Abänderung 0,1
abarbeiten 0,2
ABARBEITET 0,2
Abart 0,1
Abbau 0,1
abbaubar 0,3
abbauen 0,2
abbaut 0,2
abbekommen 0,2
abberufen 0,2
Abberufung 0,1
abbezahlt 0,3
abbiegen 0,2
Abbiegen 0,2
Abbild 0,1
abbilden 0,2
Abbilder 0,1
abbildet 0,2
Abbildung 0,1
Abbitte 0,1
abblitzen 0,2
abbrach 0,2
abbrannte 0,2
abbrechen 0,2
abbremsen 0,2
abbrennen 0,2
abbricht 0,2
abbringen 0,2
ABBRINGT 0,2
Abbruch 0,1
Abbrüche 0,1
Abbuchung 0,1
ABDÄMPFEN 0,2
ABDÄMPFT 0,2
abdanken 0,2
Abdankung 0,1
abdecken 0,2
abdeckt 0,2
Abdeckung 0,1
Abdichtung 0,1
abdrehen 0,2
Abdruck 0,1
Abdrücke 0,1
abdrucken 0,2
ABDRÜCKEN 0,2
ABDUNKELN 0,2
ABDUNKELT 0,2
Abel 0,5
Abend 0,1
Abendblatt 0,1
Abendbrot 0,1
Abende 0,1
Abenden 0,1
Abendessen 0,1
Abendgebet 0,1
Abendkasse 0,1
Abendkleid 0,1
Abendland 0,1
abendliche 0,3
Abendlicht 0,1
Abendmahl 0,1
Abendrot 0,1
abends 0
Abendsonne 0,1
ABENDWIND 0,1
Abenteuer 0,1
Abenteurer 0,1
aber 0
Aberdeen 0,6
Aberglaube 0,1
aberkannt 0,2
abermalige 0,3
abermals 0,4
Aberwitz 0,1
aberwitzig 0,3
ABERZIEHEN 0,2
abfahren 0,2
Abfahrt 0,1
abfährt 0,2
Abfahrten 0,1
Abfall 0,1
Abfälle 0,1
abfallen 0,2
Abfällen 0,2
abfallende 0,3
abfällig 0,3
abfällige 0,3
abfällt 0,2
abfangen 0,2
Abfassung 0,1
abfedern 0,2
Abfederung 0,1
abfeuern 0,2
abfinden 0,2
ABFINDET 0,2
Abfindung 0,1
Abflauen 0,2
abfließen 0,2
ABFLIESST 0,2
Abflug 0,1
Abfluss 0,1
Abflüsse 0,1
Abfolge 0,1
Abfrage 0,1
abfragen 0,2
Abfuhr 0,1
abführen 0,2
abfüllen 0,2
Abfüllung 0,1
abgab 0,2
Abgabe 0,1
Abgaben 0,1
abgaben 0,2
Abgang 0,1
Abgänge 0,1
Abgängen 0,1
Abgänger 0,1
Abgas 0,1
Abgase 0,1
Abgasnorm 0,1
Abgaswerte 0,1
abgeändert 0,3
abgebaut 0,3
abgeben 0,2
abgebildet 0,2
abgeblasen 0,2
ABGEBLASST 0,2
abgeblitzt 0,2
abgeblockt 0,2
abgebogen 0,2
ABGEBRACHT 0,2
abgebrannt 0,2
abgebremst 0,2
abgebrüht 0,2
abgebucht 0,2
ABGEDÄMPFT 0,2
abgedankt 0,2
abgedeckt 0,2
abgedrängt 0,2
abgedreht 0,2
abgedruckt 0,2
abgedrückt 0,2
abgeebbt 0,2
abgeerntet 0,2
abgefahren 0,2
abgefallen 0,2
abgefangen 0,2
abgefasst 0,2
abgefedert 0,2
ABGEFEGT 0,2
abgefeiert 0,2
abgefeuert 0,2
abgeflacht 0,2
abgeflaut 0,2
abgeflogen 0,2
abgefragt 0,2
abgeführt 0,2
abgefüllt 0,2
abgefunden 0,2
abgegangen 0,2
abgegeben 0,2
abgegebene 0,2
abgegolten 0,2
abgegraben 0,2
abgegrenzt 0,2
abgeguckt 0,2
abgehackt 0,2
abgehakt 0,2
abgehalten 0,2
abgehängt 0,2
ABGEHÄRTET 0,2
abgehauen 0,2
abgehen 0,2
ABGEHEND 0,3
abgehoben 0,3
abgehobene 0
abgeholfen 0
abgeholt 0
abgeholzt 0
abgehört 0
abgehörten 0
abgeht 0
abgekauft 0
ABGEKEHRT 0
abgeklärt 0
abgeklärte 0
abgeklopft 0
abgeknöpft 0
abgekommen 0
abgekühlt 0
abgekürzt 0
abgeladen 0
abgelagert 0
ABGELÄHMT 0
ABGELÄHMTE 0
abgelassen 0
abgelaufen 0
ABGELEBT 0
ABGELEBTEN 0
abgelegen 0
abgelegene 0
abgelegt 0
abgelegte 0
abgelegten 0
ABGELEGTES 0
Abgelehnt 0
abgelehnt 0
abgelehnte 0
abgeleitet 0
abgelenkt 0
abgelesen 0
ABGELOCKT 0
abgelöst 0
Abgeltung 0
abgemacht 0
abgemagert 0
abgemahnt 0
ABGEMÄHTES 0
abgemeldet 0
ABGEMESSEN 0
abgeneigt 0
abgenommen 0
abgenutzt 0
ABGENÜTZT 0
abgepumpt 0
abgeraten 0
abgeräumt 0
abgereist 0
abgerissen 0
abgerückt 0
abgerufen 0
abgerundet 0
abgerungen 0
abgesackt 0
abgesagt 0
abgesägt 0
abgesagte 0
abgesagten 0
Abgesandte 0
Abgesang 0
abgesaugt 0
abgeschaut 0
abgesegnet 0
abgesehen 0
Abgesehen 0
abgeseilt 0
abgesenkt 0
abgesessen 0
abgesetzt 0
abgesetzte 0
ABGESPANNT 0
abgespeckt 0
abgespeist 0
abgesperrt 0
abgespielt 0
abgespult 0
abgesteckt 0
abgestellt 0
abgestimmt 0
Abgestimmt 0
abgestoßen 0
abgestraft 0
abgestuft 0
abgestufte 0
abgestürzt 0
abgestützt 0
abgesucht 0
abgesunken 0
abgetan 0
abgetastet 0
abgetaucht 0
abgetötet 0
abgetragen 0
abgetrennt 0
abgetreten 0
abgetrotzt 0
abgewählt 0
abgewählte 0
abgewälzt 0
abgewandt 0
ABGEWANDTE 0
abgewartet 0
abgewehrt 0
abgewendet 0
abgewertet 0
abgewichen 0
abgewiesen 0
abgewinkt 0
abgewinnen 0
ABGEWINNT 0
abgewogen 0
abgewöhnen 0
abgewöhnt 0
ABGEWONNEN 0
abgeworben 0
abgeworfen 0
abgewunken 0
abgewürgt 0
abgezapft 0
ABGEZEHRT 0
abgezockt 0
abgezogen 0
ABGEZOGENE 0
abgezweigt 0
abgibt 0
abging 0
Abglanz 0
Abgleich 0
Abgleiten 0
abgleiten 0
ABGOTT 0
abgraben 0
abgrenzen 0
abgrenzt 0
Abgrenzung 0
Abgrund 0
Abgründe 0
Abgründen 0
abgründige 0
Abgrunds 0
ABGUCKEN 0
ABGUCKT 0
abhaken 0
abhält 0
abhalten 0
Abhaltung 0
abhandeln 0
abhanden 0
Abhandlung 0
Abhang 0
abhänge 0
abhängen 0
Abhängen 0
abhängig 0
Abhängig 0
Abhängige 0
abhängige 0
Abhängigen 0
abhängigen 0
abhängiger 0
ABHÄNGIGES 0
abhängt 0
ABHÄRTETE 0
ABHÄRTUNG 0
abhauen 0
abheben 0
Abheben 0
abhebt 0
abhelfen 0
abhielt 0
abhielten 0
Abhilfe 0
ABHINGE 0
abhob 0
abholen 0
Abholen 0
abholt 0
abholte 0
abholten 0
Abholung 0
Abholzen 0
Abholzung 0
ABHÖRBAR 0
Abhören 0
abhören 0
ABIRREN 0
ABIRRUNG 0
Abitur 0
Abiturient 0
abjagen 0
abkam 0
ABKANZELT 0
ABKAPPTE 0
abkassiert 0
abkaufen 0
Abkehr 0
ABKEHREN 0
ABKEHRT 0
abklären 0
Abklärung 0
Abklatsch 0
Abklingen 0
abklopfen 0
Abkommen 0
Abkommens 0
Abkömmling 0
abkoppeln 0
abkühlen 0
Abkühlen 0
Abkühlung 0
abkürzen 0
Abkürzung 0
abladen 0
Abladen 0
Ablage 0
Ablagen 0
Ablagerung 0
ABLÄHMEN 0
ABLÄHMT 0
ABLÄHMUNG 0
ablassen 0
ABLÄSST 0
Ablauf 0
Abläufe 0
ablaufen 0
Abläufen 0
ablaufende 0
Ablaufs 0
abläuft 0
Ableben 0
ablegen 0
Ablegen 0
Ableger 0
Ablegers 0
ablegt 0
ablegte 0
ablegten 0
ablehne 0
ablehnen 0
ablehnend 0
ablehnende 0
ablehnt 0
ablehnte 0
ablehnten 0
Ablehnung 0
ableisten 0
ableiten 0
ableitet 0
Ableitung 0
ablenken 0
